Epoch [5/10], Step [14/94], Loss: 0.0083
Epoch [5/10], Step [15/94], Loss: 0.0062
Epoch [5/10], Step [16/94], Loss: 0.0065
Epoch [5/10], Step [17/94], Loss: 0.0078
Epoch [5/10], Step [18/94], Loss: 0.0081
Epoch [5/10], Step [19/94], Loss: 0.0073
Epoch [5/10], Step [20/94], Loss: 0.0071
Epoch [5/10], Step [21/94], Loss: 0.0081
Epoch [5/10], Step [22/94], Loss: 0.0086
Epoch [5/10], Step [23/94], Loss: 0.0069
Epoch [5/10], Step [24/94], Loss: 0.0071
Epoch [5/10], Step [25/94], Loss: 0.0072
Epoch [5/10], Step [26/94], Loss: 0.0081
Epoch [5/10], Step [27/94], Loss: 0.0097
Epoch [5/10], Step [28/94], Loss: 0.0095
Epoch [5/10], Step [29/94], Loss: 0.0082
Epoch [5/10], Step [30/94], Loss: 0.0076
Epoch [5/10], Step [31/94], Loss: 0.0080
Epoch [5/10], Step [32/94], Loss: 0.0073
Epoch [5/10], Step [33/94], Loss: 0.0091
Epoch [5/10], Step [34/94], Loss: 0.0083
Epoch [5/10], Step [35/94], Loss: 0.0087
Epoch [5/10], Step [36/94], Loss: 0.0079
Epoch [5/10], Step [37/94], Loss: 0.0075
Epoch [5/10], Step [38/94], Loss: 0.0084
Epoch [5/10], Step [39/94], Loss: 0.0073
Epoch [5/10], Step [40/94], Loss: 0.0078
Epoch [5/10], Step [41/94], Loss: 0.0098
Epoch [5/10], Step [42/94], Loss: 0.0077
Epoch [5/10], Step [43/94], Loss: 0.0074
Epoch [5/10], Step [44/94], Loss: 0.0084
Epoch [5/10], Step [45/94], Loss: 0.0082
Epoch [5/10], Step [46/94], Loss: 0.0073
Epoch [5/10], Step [47/94], Loss: 0.0068
Epoch [5/10], Step [48/94], Loss: 0.0074
Epoch [5/10], Step [49/94], Loss: 0.0078
Epoch [5/10], Step [50/94], Loss: 0.0072
Epoch [5/10], Step [51/94], Loss: 0.0070
Epoch [5/10], Step [52/94], Loss: 0.0077
Epoch [5/10], Step [53/94], Loss: 0.0070
Epoch [5/10], Step [54/94], Loss: 0.0077
Epoch [5/10], Step [55/94], Loss: 0.0072
Epoch [5/10], Step [56/94], Loss: 0.0073
Epoch [5/10], Step [57/94], Loss: 0.0079
Epoch [5/10], Step [58/94], Loss: 0.0079
Epoch [5/10], Step [59/94], Loss: 0.0070
Epoch [5/10], Step [60/94], Loss: 0.0071
Epoch [5/10], Step [61/94], Loss: 0.0073
Epoch [5/10], Step [62/94], Loss: 0.0085
Epoch [5/10], Step [63/94], Loss: 0.0078
Epoch [5/10], Step [64/94], Loss: 0.0075
Epoch [5/10], Step [65/94], Loss: 0.0070
Epoch [5/10], Step [66/94], Loss: 0.0074
Epoch [5/10], Step [67/94], Loss: 0.0073
Epoch [5/10], Step [68/94], Loss: 0.0059
Epoch [5/10], Step [69/94], Loss: 0.0079
Epoch [5/10], Step [70/94], Loss: 0.0058
Epoch [5/10], Step [71/94], Loss: 0.0078
Epoch [5/10], Step [72/94], Loss: 0.0067
Epoch [5/10], Step [73/94], Loss: 0.0074
Epoch [5/10], Step [74/94], Loss: 0.0098
Epoch [5/10], Step [75/94], Loss: 0.0077
Epoch [5/10], Step [76/94], Loss: 0.0077
Epoch [5/10], Step [77/94], Loss: 0.0073
Epoch [5/10], Step [78/94], Loss: 0.0076
Epoch [5/10], Step [79/94], Loss: 0.0078
Epoch [5/10], Step [80/94], Loss: 0.0065
Epoch [5/10], Step [81/94], Loss: 0.0064
Epoch [5/10], Step [82/94], Loss: 0.0074
Epoch [5/10], Step [83/94], Loss: 0.0072
Epoch [5/10], Step [84/94], Loss: 0.0084
Epoch [5/10], Step [85/94], Loss: 0.0070
Epoch [5/10], Step [86/94], Loss: 0.0075
Epoch [5/10], Step [87/94], Loss: 0.0070
Epoch [5/10], Step [88/94], Loss: 0.0066
Epoch [5/10], Step [89/94], Loss: 0.0069
Epoch [5/10], Step [90/94], Loss: 0.0073
